Date,year,month,day,Province,Country,Location,Confirmed_no,Lat,Long
2020-01-27,2020,1,27,Victoria,Australia,Other,1,-37.8136,144.9631
2020-01-28,2020,1,28,Victoria,Australia,Other,1,-37.8136,144.9631
2020-01-29,2020,1,29,Victoria,Australia,Other,2,-37.8136,144.9631
2020-01-30,2020,1,30,Victoria,Australia,Other,3,-37.8136,144.9631
2020-01-31,2020,1,31,Victoria,Australia,Other,3,-37.8136,144.9631
2020-02-01,2020,2,1,Victoria,Australia,Other,4,-37.8136,144.9631
2020-02-02,2020,2,2,Victoria,Australia,Other,4,-37.8136,144.9631
2020-02-03,2020,2,3,Victoria,Australia,Other,4,-37.8136,144.9631
2020-02-04,2020,2,4,Victoria,Australia,Other,4,-37.8136,144.9631
2020-02-05,2020,2,5,Victoria,Australia,Other,4,-37.8136,144.9631
2020-02-06,2020,2,6,Victoria,Australia,Other,4,-37.8136,144.9631
2020-02-07,2020,2,7,Victoria,Australia,Other,4,-37.8136,144.9631
2020-02-08,2020,2,8,Victoria,Australia,Other,4,-37.8136,144.9631
2020-02-09,2020,2,9,Victoria,Australia,Other,4,-37.8136,144.9631
2020-02-10,2020,2,10,Victoria,Australia,Other,4,-37.8136,144.9631
2020-01-21,2020,1,21,Queensland,Australia,Other,0,-27.4698,153.0251
2020-01-22,2020,1,22,Queensland,Australia,Other,0,-27.4698,153.0251
2020-01-23,2020,1,23,Queensland,Australia,Other,0,-27.4698,153.0251
2020-01-24,2020,1,24,Queensland,Australia,Other,0,-27.4698,153.0251
2020-01-25,2020,1,25,Queensland,Australia,Other,0,-27.4698,153.0251
2020-01-26,2020,1,26,Queensland,Australia,Other,0,-27.4698,153.0251
2020-01-27,2020,1,27,Queensland,Australia,Other,0,-27.4698,153.0251
2020-01-28,2020,1,28,Queensland,Australia,Other,0,-27.4698,153.0251
2020-01-29,2020,1,29,Queensland,Australia,Other,1,-27.4698,153.0251
2020-01-30,2020,1,30,Queensland,Australia,Other,2,-27.4698,153.0251
2020-01-31,2020,1,31,Queensland,Australia,Other,2,-27.4698,153.0251
2020-02-01,2020,2,1,Queensland,Australia,Other,2,-27.4698,153.0251
2020-02-02,2020,2,2,Queensland,Australia,Other,2,-27.4698,153.0251
2020-02-03,2020,2,3,Queensland,Australia,Other,2,-27.4698,153.0251
2020-02-04,2020,2,4,Queensland,Australia,Other,3,-27.4698,153.0251
2020-02-05,2020,2,5,Queensland,Australia,Other,4,-27.4698,153.0251
2020-02-06,2020,2,6,Queensland,Australia,Other,4,-27.4698,153.0251
2020-02-07,2020,2,7,Queensland,Australia,Other,5,-27.4698,153.0251
2020-02-08,2020,2,8,Queensland,Australia,Other,5,-27.4698,153.0251
2020-02-09,2020,2,9,Queensland,Australia,Other,5,-27.4698,153.0251
2020-02-10,2020,2,10,Queensland,Australia,Other,5,-27.4698,153.0251
2020-01-21,2020,1,21,NA,Cambodia,Other,0,12.5657,104.991
2020-01-22,2020,1,22,NA,Cambodia,Other,0,12.5657,104.991
2020-01-23,2020,1,23,NA,Cambodia,Other,0,12.5657,104.991
2020-01-24,2020,1,24,NA,Cambodia,Other,0,12.5657,104.991
2020-01-25,2020,1,25,NA,Cambodia,Other,0,12.5657,104.991
2020-01-26,2020,1,26,NA,Cambodia,Other,0,12.5657,104.991
2020-01-27,2020,1,27,NA,Cambodia,Other,1,12.5657,104.991
2020-01-28,2020,1,28,NA,Cambodia,Other,1,12.5657,104.991
2020-01-29,2020,1,29,NA,Cambodia,Other,1,12.5657,104.991
2020-01-30,2020,1,30,NA,Cambodia,Other,1,12.5657,104.991
2020-01-31,2020,1,31,NA,Cambodia,Other,1,12.5657,104.991
2020-02-01,2020,2,1,NA,Cambodia,Other,1,12.5657,104.991
2020-02-02,2020,2,2,NA,Cambodia,Other,1,12.5657,104.991
2020-02-03,2020,2,3,NA,Cambodia,Other,1,12.5657,104.991
2020-02-04,2020,2,4,NA,Cambodia,Other,1,12.5657,104.991
2020-02-05,2020,2,5,NA,Cambodia,Other,1,12.5657,104.991
2020-02-06,2020,2,6,NA,Cambodia,Other,1,12.5657,104.991
2020-02-07,2020,2,7,NA,Cambodia,Other,1,12.5657,104.991
2020-02-08,2020,2,8,NA,Cambodia,Other,1,12.5657,104.991
2020-02-09,2020,2,9,NA,Cambodia,Other,1,12.5657,104.991
2020-02-10,2020,2,10,NA,Cambodia,Other,1,12.5657,104.991
2020-01-21,2020,1,21,NA,Sri Lanka,Other,0,7.8731,80.7718
2020-01-22,2020,1,22,NA,Sri Lanka,Other,0,7.8731,80.7718
2020-01-23,2020,1,23,NA,Sri Lanka,Other,0,7.8731,80.7718
2020-01-24,2020,1,24,NA,Sri Lanka,Other,0,7.8731,80.7718
2020-01-25,2020,1,25,NA,Sri Lanka,Other,0,7.8731,80.7718
2020-01-26,2020,1,26,NA,Sri Lanka,Other,0,7.8731,80.7718
2020-01-27,2020,1,27,NA,Sri Lanka,Other,1,7.8731,80.7718
2020-01-28,2020,1,28,NA,Sri Lanka,Other,1,7.8731,80.7718
2020-01-29,2020,1,29,NA,Sri Lanka,Other,1,7.8731,80.7718
2020-01-30,2020,1,30,NA,Sri Lanka,Other,1,7.8731,80.7718
2020-01-31,2020,1,31,NA,Sri Lanka,Other,1,7.8731,80.7718
2020-02-01,2020,2,1,NA,Sri Lanka,Other,1,7.8731,80.7718
2020-02-02,2020,2,2,NA,Sri Lanka,Other,1,7.8731,80.7718
2020-02-03,2020,2,3,NA,Sri Lanka,Other,1,7.8731,80.7718
2020-02-04,2020,2,4,NA,Sri Lanka,Other,1,7.8731,80.7718
2020-02-05,2020,2,5,NA,Sri Lanka,Other,1,7.8731,80.7718
2020-02-06,2020,2,6,NA,Sri Lanka,Other,1,7.8731,80.7718
2020-02-07,2020,2,7,NA,Sri Lanka,Other,1,7.8731,80.7718
2020-02-08,2020,2,8,NA,Sri Lanka,Other,1,7.8731,80.7718
2020-02-09,2020,2,9,NA,Sri Lanka,Other,1,7.8731,80.7718
2020-02-10,2020,2,10,NA,Sri Lanka,Other,1,7.8731,80.7718
2020-01-21,2020,1,21,NA,Germany,Other,0,51.1657,10.4515
2020-01-22,2020,1,22,NA,Germany,Other,0,51.1657,10.4515
2020-01-23,2020,1,23,NA,Germany,Other,0,51.1657,10.4515
2020-01-24,2020,1,24,NA,Germany,Other,0,51.1657,10.4515
2020-01-25,2020,1,25,NA,Germany,Other,0,51.1657,10.4515
2020-01-26,2020,1,26,NA,Germany,Other,0,51.1657,10.4515
2020-01-27,2020,1,27,NA,Germany,Other,1,51.1657,10.4515
2020-01-28,2020,1,28,NA,Germany,Other,4,51.1657,10.4515
2020-01-29,2020,1,29,NA,Germany,Other,4,51.1657,10.4515
2020-01-30,2020,1,30,NA,Germany,Other,4,51.1657,10.4515
2020-01-31,2020,1,31,NA,Germany,Other,5,51.1657,10.4515
2020-02-01,2020,2,1,NA,Germany,Other,7,51.1657,10.4515
2020-02-02,2020,2,2,NA,Germany,Other,10,51.1657,10.4515
2020-02-03,2020,2,3,NA,Germany,Other,10,51.1657,10.4515
2020-02-04,2020,2,4,NA,Germany,Other,12,51.1657,10.4515
2020-02-05,2020,2,5,NA,Germany,Other,12,51.1657,10.4515
2020-02-06,2020,2,6,NA,Germany,Other,12,51.1657,10.4515
2020-02-07,2020,2,7,NA,Germany,Other,13,51.1657,10.4515
2020-02-08,2020,2,8,NA,Germany,Other,13,51.1657,10.4515
2020-02-09,2020,2,9,NA,Germany,Other,14,51.1657,10.4515
2020-02-10,2020,2,10,NA,Germany,Other,14,51.1657,10.4515
2020-01-21,2020,1,21,NA,Finland,Other,0,61.9241,25.7482
2020-01-22,2020,1,22,NA,Finland,Other,0,61.9241,25.7482
2020-01-23,2020,1,23,NA,Finland,Other,0,61.9241,25.7482
2020-01-24,2020,1,24,NA,Finland,Other,0,61.9241,25.7482
2020-01-25,2020,1,25,NA,Finland,Other,0,61.9241,25.7482
2020-01-26,2020,1,26,NA,Finland,Other,0,61.9241,25.7482
2020-01-27,2020,1,27,NA,Finland,Other,0,61.9241,25.7482
2020-01-28,2020,1,28,NA,Finland,Other,0,61.9241,25.7482
2020-01-29,2020,1,29,NA,Finland,Other,1,61.9241,25.7482
2020-01-30,2020,1,30,NA,Finland,Other,1,61.9241,25.7482
2020-01-31,2020,1,31,NA,Finland,Other,1,61.9241,25.7482
2020-02-01,2020,2,1,NA,Finland,Other,1,61.9241,25.7482
2020-02-02,2020,2,2,NA,Finland,Other,1,61.9241,25.7482
2020-02-03,2020,2,3,NA,Finland,Other,1,61.9241,25.7482
2020-02-04,2020,2,4,NA,Finland,Other,1,61.9241,25.7482
2020-02-05,2020,2,5,NA,Finland,Other,1,61.9241,25.7482
2020-02-06,2020,2,6,NA,Finland,Other,1,61.9241,25.7482
2020-02-07,2020,2,7,NA,Finland,Other,1,61.9241,25.7482
2020-02-08,2020,2,8,NA,Finland,Other,1,61.9241,25.7482
2020-02-09,2020,2,9,NA,Finland,Other,1,61.9241,25.7482
2020-02-10,2020,2,10,NA,Finland,Other,1,61.9241,25.7482
2020-01-21,2020,1,21,NA,United Arab Emirates,Other,0,23.4241,53.8478
2020-01-22,2020,1,22,NA,United Arab Emirates,Other,0,23.4241,53.8478
2020-01-23,2020,1,23,NA,United Arab Emirates,Other,0,23.4241,53.8478
2020-01-24,2020,1,24,NA,United Arab Emirates,Other,0,23.4241,53.8478
2020-01-25,2020,1,25,NA,United Arab Emirates,Other,0,23.4241,53.8478
2020-01-26,2020,1,26,NA,United Arab Emirates,Other,0,23.4241,53.8478
2020-01-27,2020,1,27,NA,United Arab Emirates,Other,0,23.4241,53.8478
2020-01-28,2020,1,28,NA,United Arab Emirates,Other,0,23.4241,53.8478
2020-01-29,2020,1,29,NA,United Arab Emirates,Other,4,23.4241,53.8478
2020-01-30,2020,1,30,NA,United Arab Emirates,Other,4,23.4241,53.8478
2020-01-31,2020,1,31,NA,United Arab Emirates,Other,4,23.4241,53.8478
2020-02-01,2020,2,1,NA,United Arab Emirates,Other,4,23.4241,53.8478
2020-02-02,2020,2,2,NA,United Arab Emirates,Other,5,23.4241,53.8478
2020-02-03,2020,2,3,NA,United Arab Emirates,Other,5,23.4241,53.8478
2020-02-04,2020,2,4,NA,United Arab Emirates,Other,5,23.4241,53.8478
2020-02-05,2020,2,5,NA,United Arab Emirates,Other,5,23.4241,53.8478
2020-02-06,2020,2,6,NA,United Arab Emirates,Other,5,23.4241,53.8478
2020-02-07,2020,2,7,NA,United Arab Emirates,Other,5,23.4241,53.8478
2020-02-08,2020,2,8,NA,United Arab Emirates,Other,7,23.4241,53.8478
2020-02-09,2020,2,9,NA,United Arab Emirates,Other,7,23.4241,53.8478
2020-02-10,2020,2,10,NA,United Arab Emirates,Other,7,23.4241,53.8478
2020-01-21,2020,1,21,NA,Philippines,Other,0,12.8797,121.774
2020-01-22,2020,1,22,NA,Philippines,Other,0,12.8797,121.774
2020-01-23,2020,1,23,NA,Philippines,Other,0,12.8797,121.774
2020-01-24,2020,1,24,NA,Philippines,Other,0,12.8797,121.774
2020-01-25,2020,1,25,NA,Philippines,Other,0,12.8797,121.774
2020-01-26,2020,1,26,NA,Philippines,Other,0,12.8797,121.774
2020-01-27,2020,1,27,NA,Philippines,Other,0,12.8797,121.774
2020-01-28,2020,1,28,NA,Philippines,Other,0,12.8797,121.774
2020-01-29,2020,1,29,NA,Philippines,Other,0,12.8797,121.774
2020-01-30,2020,1,30,NA,Philippines,Other,1,12.8797,121.774
2020-01-31,2020,1,31,NA,Philippines,Other,1,12.8797,121.774
2020-02-01,2020,2,1,NA,Philippines,Other,1,12.8797,121.774
2020-02-02,2020,2,2,NA,Philippines,Other,2,12.8797,121.774
2020-02-03,2020,2,3,NA,Philippines,Other,2,12.8797,121.774
2020-02-04,2020,2,4,NA,Philippines,Other,2,12.8797,121.774
2020-02-05,2020,2,5,NA,Philippines,Other,2,12.8797,121.774
2020-02-06,2020,2,6,NA,Philippines,Other,2,12.8797,121.774
2020-02-07,2020,2,7,NA,Philippines,Other,3,12.8797,121.774
2020-02-08,2020,2,8,NA,Philippines,Other,3,12.8797,121.774
2020-02-09,2020,2,9,NA,Philippines,Other,3,12.8797,121.774
2020-02-10,2020,2,10,NA,Philippines,Other,3,12.8797,121.774
2020-01-21,2020,1,21,NA,India,Other,0,20.5937,78.9629
2020-01-22,2020,1,22,NA,India,Other,0,20.5937,78.9629
2020-01-23,2020,1,23,NA,India,Other,0,20.5937,78.9629
2020-01-24,2020,1,24,NA,India,Other,0,20.5937,78.9629
2020-01-25,2020,1,25,NA,India,Other,0,20.5937,78.9629
2020-01-26,2020,1,26,NA,India,Other,0,20.5937,78.9629
2020-01-27,2020,1,27,NA,India,Other,0,20.5937,78.9629
2020-01-28,2020,1,28,NA,India,Other,0,20.5937,78.9629
2020-01-29,2020,1,29,NA,India,Other,0,20.5937,78.9629
2020-01-30,2020,1,30,NA,India,Other,1,20.5937,78.9629
2020-01-31,2020,1,31,NA,India,Other,1,20.5937,78.9629
2020-02-01,2020,2,1,NA,India,Other,1,20.5937,78.9629
2020-02-02,2020,2,2,NA,India,Other,2,20.5937,78.9629
2020-02-03,2020,2,3,NA,India,Other,2,20.5937,78.9629
2020-02-04,2020,2,4,NA,India,Other,3,20.5937,78.9629
2020-02-05,2020,2,5,NA,India,Other,3,20.5937,78.9629
2020-02-06,2020,2,6,NA,India,Other,3,20.5937,78.9629
2020-02-07,2020,2,7,NA,India,Other,3,20.5937,78.9629
2020-02-08,2020,2,8,NA,India,Other,3,20.5937,78.9629
2020-02-09,2020,2,9,NA,India,Other,3,20.5937,78.9629
2020-02-10,2020,2,10,NA,India,Other,3,20.5937,78.9629
2020-01-21,2020,1,21,"London, ON",Canada,Other,0,42.9849,-81.2453
2020-01-22,2020,1,22,"London, ON",Canada,Other,0,42.9849,-81.2453
2020-01-23,2020,1,23,"London, ON",Canada,Other,0,42.9849,-81.2453
2020-01-24,2020,1,24,"London, ON",Canada,Other,0,42.9849,-81.2453
2020-01-25,2020,1,25,"London, ON",Canada,Other,0,42.9849,-81.2453
2020-01-26,2020,1,26,"London, ON",Canada,Other,0,42.9849,-81.2453
2020-01-27,2020,1,27,"London, ON",Canada,Other,0,42.9849,-81.2453
2020-01-28,2020,1,28,"London, ON",Canada,Other,0,42.9849,-81.2453
2020-01-29,2020,1,29,"London, ON",Canada,Other,0,42.9849,-81.2453
2020-01-30,2020,1,30,"London, ON",Canada,Other,0,42.9849,-81.2453
2020-01-31,2020,1,31,"London, ON",Canada,Other,1,42.9849,-81.2453
2020-02-01,2020,2,1,"London, ON",Canada,Other,1,42.9849,-81.2453
2020-02-02,2020,2,2,"London, ON",Canada,Other,1,42.9849,-81.2453
2020-02-03,2020,2,3,"London, ON",Canada,Other,1,42.9849,-81.2453
2020-02-04,2020,2,4,"London, ON",Canada,Other,1,42.9849,-81.2453
2020-02-05,2020,2,5,"London, ON",Canada,Other,1,42.9849,-81.2453
2020-02-06,2020,2,6,"London, ON",Canada,Other,1,42.9849,-81.2453
2020-02-07,2020,2,7,"London, ON",Canada,Other,1,42.9849,-81.2453
2020-02-08,2020,2,8,"London, ON",Canada,Other,1,42.9849,-81.2453
2020-02-09,2020,2,9,"London, ON",Canada,Other,1,42.9849,-81.2453
2020-02-10,2020,2,10,"London, ON",Canada,Other,1,42.9849,-81.2453
2020-01-21,2020,1,21,NA,Italy,Other,0,41.8719,12.5674
2020-01-22,2020,1,22,NA,Italy,Other,0,41.8719,12.5674
2020-01-23,2020,1,23,NA,Italy,Other,0,41.8719,12.5674
2020-01-24,2020,1,24,NA,Italy,Other,0,41.8719,12.5674
2020-01-25,2020,1,25,NA,Italy,Other,0,41.8719,12.5674
2020-01-26,2020,1,26,NA,Italy,Other,0,41.8719,12.5674
2020-01-27,2020,1,27,NA,Italy,Other,0,41.8719,12.5674
2020-01-28,2020,1,28,NA,Italy,Other,0,41.8719,12.5674
2020-01-29,2020,1,29,NA,Italy,Other,0,41.8719,12.5674
2020-01-30,2020,1,30,NA,Italy,Other,0,41.8719,12.5674
2020-01-31,2020,1,31,NA,Italy,Other,2,41.8719,12.5674
2020-02-01,2020,2,1,NA,Italy,Other,2,41.8719,12.5674
2020-02-02,2020,2,2,NA,Italy,Other,2,41.8719,12.5674
2020-02-03,2020,2,3,NA,Italy,Other,2,41.8719,12.5674
2020-02-04,2020,2,4,NA,Italy,Other,2,41.8719,12.5674
2020-02-05,2020,2,5,NA,Italy,Other,2,41.8719,12.5674
2020-02-06,2020,2,6,NA,Italy,Other,2,41.8719,12.5674
2020-02-07,2020,2,7,NA,Italy,Other,3,41.8719,12.5674
2020-02-08,2020,2,8,NA,Italy,Other,3,41.8719,12.5674
2020-02-09,2020,2,9,NA,Italy,Other,3,41.8719,12.5674
2020-02-10,2020,2,10,NA,Italy,Other,3,41.8719,12.5674
2020-01-21,2020,1,21,NA,UK,Other,0,55.3781,-3.436
2020-01-22,2020,1,22,NA,UK,Other,0,55.3781,-3.436
2020-01-23,2020,1,23,NA,UK,Other,0,55.3781,-3.436
2020-01-24,2020,1,24,NA,UK,Other,0,55.3781,-3.436
2020-01-25,2020,1,25,NA,UK,Other,0,55.3781,-3.436
2020-01-26,2020,1,26,NA,UK,Other,0,55.3781,-3.436
2020-01-27,2020,1,27,NA,UK,Other,0,55.3781,-3.436
2020-01-28,2020,1,28,NA,UK,Other,0,55.3781,-3.436
2020-01-29,2020,1,29,NA,UK,Other,0,55.3781,-3.436
2020-01-30,2020,1,30,NA,UK,Other,0,55.3781,-3.436
2020-01-31,2020,1,31,NA,UK,Other,2,55.3781,-3.436
2020-02-01,2020,2,1,NA,UK,Other,2,55.3781,-3.436
2020-02-02,2020,2,2,NA,UK,Other,2,55.3781,-3.436
2020-02-03,2020,2,3,NA,UK,Other,2,55.3781,-3.436
2020-02-04,2020,2,4,NA,UK,Other,2,55.3781,-3.436
2020-02-05,2020,2,5,NA,UK,Other,2,55.3781,-3.436
2020-02-06,2020,2,6,NA,UK,Other,2,55.3781,-3.436
2020-02-07,2020,2,7,NA,UK,Other,3,55.3781,-3.436
2020-02-08,2020,2,8,NA,UK,Other,3,55.3781,-3.436
2020-02-09,2020,2,9,NA,UK,Other,3,55.3781,-3.436
2020-02-10,2020,2,10,NA,UK,Other,3,55.3781,-3.436
2020-01-21,2020,1,21,NA,Russia,Other,0,61.524,105.3188
2020-01-22,2020,1,22,NA,Russia,Other,0,61.524,105.3188
2020-01-23,2020,1,23,NA,Russia,Other,0,61.524,105.3188
2020-01-24,2020,1,24,NA,Russia,Other,0,61.524,105.3188
2020-01-25,2020,1,25,NA,Russia,Other,0,61.524,105.3188
2020-01-26,2020,1,26,NA,Russia,Other,0,61.524,105.3188
2020-01-27,2020,1,27,NA,Russia,Other,0,61.524,105.3188
2020-01-28,2020,1,28,NA,Russia,Other,0,61.524,105.3188
2020-01-29,2020,1,29,NA,Russia,Other,0,61.524,105.3188
2020-01-30,2020,1,30,NA,Russia,Other,0,61.524,105.3188
2020-01-31,2020,1,31,NA,Russia,Other,2,61.524,105.3188
2020-02-01,2020,2,1,NA,Russia,Other,2,61.524,105.3188
2020-02-02,2020,2,2,NA,Russia,Other,2,61.524,105.3188
2020-02-03,2020,2,3,NA,Russia,Other,2,61.524,105.3188
2020-02-04,2020,2,4,NA,Russia,Other,2,61.524,105.3188
2020-02-05,2020,2,5,NA,Russia,Other,2,61.524,105.3188
2020-02-06,2020,2,6,NA,Russia,Other,2,61.524,105.3188
2020-02-07,2020,2,7,NA,Russia,Other,2,61.524,105.3188
2020-02-08,2020,2,8,NA,Russia,Other,2,61.524,105.3188
2020-02-09,2020,2,9,NA,Russia,Other,2,61.524,105.3188
2020-02-10,2020,2,10,NA,Russia,Other,2,61.524,105.3188
2020-01-21,2020,1,21,NA,Sweden,Other,0,60.1282,18.6435
2020-01-22,2020,1,22,NA,Sweden,Other,0,60.1282,18.6435
2020-01-23,2020,1,23,NA,Sweden,Other,0,60.1282,18.6435
2020-01-24,2020,1,24,NA,Sweden,Other,0,60.1282,18.6435
2020-01-25,2020,1,25,NA,Sweden,Other,0,60.1282,18.6435
2020-01-26,2020,1,26,NA,Sweden,Other,0,60.1282,18.6435
2020-01-27,2020,1,27,NA,Sweden,Other,0,60.1282,18.6435
2020-01-28,2020,1,28,NA,Sweden,Other,0,60.1282,18.6435
2020-01-29,2020,1,29,NA,Sweden,Other,0,60.1282,18.6435
2020-01-30,2020,1,30,NA,Sweden,Other,0,60.1282,18.6435
2020-01-31,2020,1,31,NA,Sweden,Other,1,60.1282,18.6435
2020-02-01,2020,2,1,NA,Sweden,Other,1,60.1282,18.6435
2020-02-02,2020,2,2,NA,Sweden,Other,1,60.1282,18.6435
2020-02-03,2020,2,3,NA,Sweden,Other,1,60.1282,18.6435
2020-02-04,2020,2,4,NA,Sweden,Other,1,60.1282,18.6435
2020-02-05,2020,2,5,NA,Sweden,Other,1,60.1282,18.6435
2020-02-06,2020,2,6,NA,Sweden,Other,1,60.1282,18.6435
2020-02-07,2020,2,7,NA,Sweden,Other,1,60.1282,18.6435
2020-02-08,2020,2,8,NA,Sweden,Other,1,60.1282,18.6435
2020-02-09,2020,2,9,NA,Sweden,Other,1,60.1282,18.6435
2020-02-10,2020,2,10,NA,Sweden,Other,1,60.1282,18.6435
2020-01-21,2020,1,21,"Santa Clara, CA",US,Other,0,37.3541,-121.9552
2020-01-22,2020,1,22,"Santa Clara, CA",US,Other,0,37.3541,-121.9552
2020-01-23,2020,1,23,"Santa Clara, CA",US,Other,0,37.3541,-121.9552
2020-01-24,2020,1,24,"Santa Clara, CA",US,Other,0,37.3541,-121.9552
2020-01-25,2020,1,25,"Santa Clara, CA",US,Other,0,37.3541,-121.9552
2020-01-26,2020,1,26,"Santa Clara, CA",US,Other,0,37.3541,-121.9552
2020-01-27,2020,1,27,"Santa Clara, CA",US,Other,0,37.3541,-121.9552
2020-01-28,2020,1,28,"Santa Clara, CA",US,Other,0,37.3541,-121.9552
2020-01-29,2020,1,29,"Santa Clara, CA",US,Other,0,37.3541,-121.9552
2020-01-30,2020,1,30,"Santa Clara, CA",US,Other,0,37.3541,-121.9552
2020-01-31,2020,1,31,"Santa Clara, CA",US,Other,1,37.3541,-121.9552
2020-02-01,2020,2,1,"Santa Clara, CA",US,Other,1,37.3541,-121.9552
2020-02-02,2020,2,2,"Santa Clara, CA",US,Other,1,37.3541,-121.9552
2020-02-03,2020,2,3,"Santa Clara, CA",US,Other,1,37.3541,-121.9552
2020-02-04,2020,2,4,"Santa Clara, CA",US,Other,2,37.3541,-121.9552
2020-02-05,2020,2,5,"Santa Clara, CA",US,Other,2,37.3541,-121.9552
2020-02-06,2020,2,6,"Santa Clara, CA",US,Other,2,37.3541,-121.9552
2020-02-07,2020,2,7,"Santa Clara, CA",US,Other,2,37.3541,-121.9552
2020-02-08,2020,2,8,"Santa Clara, CA",US,Other,2,37.3541,-121.9552
2020-02-09,2020,2,9,"Santa Clara, CA",US,Other,2,37.3541,-121.9552
2020-02-10,2020,2,10,"Santa Clara, CA",US,Other,2,37.3541,-121.9552
2020-01-21,2020,1,21,NA,Spain,Other,0,40.4637,-3.7492
2020-01-22,2020,1,22,NA,Spain,Other,0,40.4637,-3.7492
2020-01-23,2020,1,23,NA,Spain,Other,0,40.4637,-3.7492
2020-01-24,2020,1,24,NA,Spain,Other,0,40.4637,-3.7492
2020-01-25,2020,1,25,NA,Spain,Other,0,40.4637,-3.7492
2020-01-26,2020,1,26,NA,Spain,Other,0,40.4637,-3.7492
2020-01-27,2020,1,27,NA,Spain,Other,0,40.4637,-3.7492
2020-01-28,2020,1,28,NA,Spain,Other,0,40.4637,-3.7492
2020-01-29,2020,1,29,NA,Spain,Other,0,40.4637,-3.7492
2020-01-30,2020,1,30,NA,Spain,Other,0,40.4637,-3.7492
2020-01-31,2020,1,31,NA,Spain,Other,0,40.4637,-3.7492
2020-02-01,2020,2,1,NA,Spain,Other,1,40.4637,-3.7492
2020-02-02,2020,2,2,NA,Spain,Other,1,40.4637,-3.7492
2020-02-03,2020,2,3,NA,Spain,Other,1,40.4637,-3.7492
2020-02-04,2020,2,4,NA,Spain,Other,1,40.4637,-3.7492
2020-02-05,2020,2,5,NA,Spain,Other,1,40.4637,-3.7492
2020-02-06,2020,2,6,NA,Spain,Other,1,40.4637,-3.7492
2020-02-07,2020,2,7,NA,Spain,Other,1,40.4637,-3.7492
2020-02-08,2020,2,8,NA,Spain,Other,1,40.4637,-3.7492
2020-02-09,2020,2,9,NA,Spain,Other,2,40.4637,-3.7492
2020-02-10,2020,2,10,NA,Spain,Other,2,40.4637,-3.7492
2020-01-21,2020,1,21,South Australia,Australia,Other,0,-34.9285,138.6007
2020-01-22,2020,1,22,South Australia,Australia,Other,0,-34.9285,138.6007
2020-01-23,2020,1,23,South Australia,Australia,Other,0,-34.9285,138.6007
2020-01-24,2020,1,24,South Australia,Australia,Other,0,-34.9285,138.6007
2020-01-25,2020,1,25,South Australia,Australia,Other,0,-34.9285,138.6007
2020-01-26,2020,1,26,South Australia,Australia,Other,0,-34.9285,138.6007
2020-01-27,2020,1,27,South Australia,Australia,Other,0,-34.9285,138.6007
2020-01-28,2020,1,28,South Australia,Australia,Other,0,-34.9285,138.6007
2020-01-29,2020,1,29,South Australia,Australia,Other,0,-34.9285,138.6007
2020-01-30,2020,1,30,South Australia,Australia,Other,0,-34.9285,138.6007
2020-01-31,2020,1,31,South Australia,Australia,Other,0,-34.9285,138.6007
2020-02-01,2020,2,1,South Australia,Australia,Other,2,-34.9285,138.6007
2020-02-02,2020,2,2,South Australia,Australia,Other,2,-34.9285,138.6007
2020-02-03,2020,2,3,South Australia,Australia,Other,2,-34.9285,138.6007
2020-02-04,2020,2,4,South Australia,Australia,Other,2,-34.9285,138.6007
2020-02-05,2020,2,5,South Australia,Australia,Other,2,-34.9285,138.6007
2020-02-06,2020,2,6,South Australia,Australia,Other,2,-34.9285,138.6007
2020-02-07,2020,2,7,South Australia,Australia,Other,2,-34.9285,138.6007
2020-02-08,2020,2,8,South Australia,Australia,Other,2,-34.9285,138.6007
2020-02-09,2020,2,9,South Australia,Australia,Other,2,-34.9285,138.6007
2020-02-10,2020,2,10,South Australia,Australia,Other,2,-34.9285,138.6007
2020-01-21,2020,1,21,"Boston, MA",US,Other,0,42.3601,-71.0589
2020-01-22,2020,1,22,"Boston, MA",US,Other,0,42.3601,-71.0589
2020-01-23,2020,1,23,"Boston, MA",US,Other,0,42.3601,-71.0589
2020-01-24,2020,1,24,"Boston, MA",US,Other,0,42.3601,-71.0589
2020-01-25,2020,1,25,"Boston, MA",US,Other,0,42.3601,-71.0589
2020-01-26,2020,1,26,"Boston, MA",US,Other,0,42.3601,-71.0589
2020-01-27,2020,1,27,"Boston, MA",US,Other,0,42.3601,-71.0589
2020-01-28,2020,1,28,"Boston, MA",US,Other,0,42.3601,-71.0589
2020-01-29,2020,1,29,"Boston, MA",US,Other,0,42.3601,-71.0589
2020-01-30,2020,1,30,"Boston, MA",US,Other,0,42.3601,-71.0589
2020-01-31,2020,1,31,"Boston, MA",US,Other,0,42.3601,-71.0589
2020-02-01,2020,2,1,"Boston, MA",US,Other,0,42.3601,-71.0589
2020-02-02,2020,2,2,"Boston, MA",US,Other,1,42.3601,-71.0589
2020-02-03,2020,2,3,"Boston, MA",US,Other,1,42.3601,-71.0589
2020-02-04,2020,2,4,"Boston, MA",US,Other,1,42.3601,-71.0589
2020-02-05,2020,2,5,"Boston, MA",US,Other,1,42.3601,-71.0589
2020-02-06,2020,2,6,"Boston, MA",US,Other,1,42.3601,-71.0589
2020-02-07,2020,2,7,"Boston, MA",US,Other,1,42.3601,-71.0589
2020-02-08,2020,2,8,"Boston, MA",US,Other,1,42.3601,-71.0589
